address,value
0xa96b9be1e4C2A040d81fE00d006f49C4BF148dEe,300
0x90D51493301E3adc90a6B2426D17bE6A5D2d44cC,3000
0x20acB2B5592304696A447fCF09391f2c19cd5eff,300
0x457eD94CC5954C579ee9EdB429467CD0c6739e79,300
0x14e38E92A8f3f39Ae41C519c4F124163BB53E18d,600
0xaa064Ea8ECe949082316c7028a26535b12302487,300
0x24B3F04523b996174A791a5f78C835FEA1269A2B,600
0x35b0F6Fbe08A3C7A1E412a514e9e02f85D01C1A4,1500
0x61d0A005725b5A742d232655a7E22efb7Cad3414,300
0x807C8bb3e19dCFeddFbD8A87dcBD00fb9C072ef5,1200
0x4916a1062524967Fb5034eC1Da74EEA35C18F949,300
0xF198A0b1BE12bd17488cc9DB94aFF3265173B018,300
0x1cb7AaBBec26e658AA6D84a6587ae68955279513,300
0x314A761B2992cA891D2974784D10E861D91d7e64,2700
0x2dB5990236c68015893eEbe6f817b6eA22fc6579,300
0xd0b99f4AA489776D8E35f26EaBb2aBEFF97B0804,300
0x9D08B661592b20e3530eEdce909d0a1b4cDC5512,29400
0xEa173f401253436102DA7a77548fc99322bd76B8,300
0x114Ab214c912f1071991abd25B9Eeb48bcb7E76E,300
0xDCDBC5eF852964945bA5D4772B26dAcFFcD9F59d,300
0x23fEdC495e91EF24AB7923bECcEA3f0BA3437e7D,300
0x9d22F2058b4EA321dE701c75fB907d806e5922BA,1500
0x9BccFd882CC52bF829C70D13B4840Db9df849294,27900
0x9f735989432E0c0d6EBe4c03d2bc7706B544214E,3900
0xB9A9F5CDeabdCD42fD09A547Cd098Dbed3eCb585,11400
0x717118295Cf95326eE2d40D28006764fbe87f0ae,900
0xBEADFCa8C61665ACc254b51467b7c73B2096b869,1200
0xDC8E8c3e9027411F68478B1e9BDd16b2F20a1BFC,300
0x5B4b59305a3EcE394FA978A20f615a60E3Bc63e4,3600
0x45C9904971e72C6b2f492AcF47e862C7c7CFce01,1500
0x8E4637E0Ee1C6638731569c380C8A42cfB785337,600
0xd887257d5adF6D31518CF614372b6cD79E1895cE,300
0x39383AbB3703FD2760CE4cc9dd91bd410b06e8E1,300
0x96B9B380662Fd7dA4475FdF8D7B47B0B5940298C,300
0x2D52c03AbaD44D12Ae6f47978d608FB05e959Aa9,300
0x9E48c94Af9806c5332F0Cc07e7CD65E9705b68cf,300
0x2B786BD7af48d41263388c63e6613dFe9c6A27e1,1200
0x9de11EF85ca389D243Ff76eC3AE2Be3a06944ED7,600
0x411D10601e0eb66Cb09cE85d6962B6e84DFf6e5E,300
0x035B1A48D2434CdB3A7197731c763C886bab160e,900
0xEA3c62EabA1924bD0141ACEA0490daB46BE98257,1500
0x87b34454B773fDf59eF7A6D0a268bd1D9c59A05F,300
0xcC90c10D54368321E4f022D13334490c52FB6121,300
0x3FcFb6614Efc823120C2C4cc196E3919656150dD,1800
0x1aaB5ad27515409cF96f8EE10C41e2fD8F0365Dd,600
0x203a7f8A55eEEb8Fb7d3dA0ECc440b798627E15f,300
0xa8D7683B90ca44Eff978bf24cD49161B0017F41D,600
